Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим
Справочник	ПростойСправочник	ПростойСправочник				
				Наименование	Тест	
				Код	5	
Справочник	ПростойСправочник2	ПростойСправочник21				
				Наименование	Тест1	
				Код	5	
Справочник	ПростойСправочник2	ПростойСправочник22				
				Наименование	Тест2	
				Код	6	
Документ	Документ1	Документ				
				Дата	20140401	
				ПростойСправочник	ПростойСправочник	Перем
			Состав			
				РеквизитЧисло	150	
				ПростойСправочник2	Тест1	Наименование
				РеквизитБулево	Ложь	
			Состав			
				ПростойСправочник2	ПростойСправочник22	Перем
				РеквизитЧисло	0	
				РеквизитБулево	Истина	
