Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим
ПользовательИБ		Пользователь1				
				Имя	ПользовательПоУмолчанию	
				ПолноеИмя		
				АутентификацияСтандартная	Да	
				АутентификацияОС	Нет	
				ПользовательОС		
				ОсновнойИнтерфейс		
				ПоказыватьВСпискеВыбора	Да	
				РежимЗапуска	Обычное приложение	
				Пароль		
			Роли			
				Роль	Роль1	
				Роль	ПраваНеобходимыеДляТестирования	
ПользовательИБ		Пользователь2				
				Имя	Пользователь2	
				ПолноеИмя		
				АутентификацияСтандартная	Да	
				АутентификацияОС	Нет	
				ПользовательОС		
				ОсновнойИнтерфейс		
				ПоказыватьВСпискеВыбора	Да	
				РежимЗапуска	Обычное приложение	
				Пароль		
			Роли			
				Роль	Роль1	
				Роль	ПраваНеобходимыеДляТестирования	
