Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим
Справочник	ПростойСправочник	ПростойСправочник				
				Наименование	Тест	
				Код	5	
Справочник	ПростойСправочник2	ПростойСправочник2_1				
				Наименование	Тест1	
				Код	5	
Справочник	ПростойСправочник2	ПростойСправочник2_2				
				Наименование	Тест2	
				Код	6	
Справочник	СправочникСТабЧастью	СправочникСТабЧастью				
				Наименование	Тестовое наименование	
			Состав			
				ПростойСправочник	ПростойСправочник	Перем
				ПростойСправочник2	ПростойСправочник2_1	Перем
				РеквизитБулево	Истина	
			Состав			
				ПростойСправочник	ПростойСправочник	Перем
				ПростойСправочник2	ПростойСправочник2_2	Перем
				РеквизитБулево	Ложь	
